year	pages	words
	361	115684
	488	175351
	399	124155
1862	18	6046
1864	183	50942
	360	111885
1869	34	5962
1840	24	6431
	513	163011
1842	71	13713
1859	161	11505
1860	24	6945
1844	22	9411
1868	12	2500
1869	439	132548
	321	66345
	316	66930
1840	20	2704
1846	225	65161
	65	21002
1866	23	7847
1862	32	16214
1865	232	86687
1845	200	48006
1859	57	38812
1851	7	2398
1846	16	8925
1864	349	174603
1865	30	12807
1868	238	60041
1857	38	6171
1849	233	58195
1842	47	11087
1847	217	68284
1864	612	165336
1854	46	6785
1853	337	91143
1861	227	59584
1864	51	16950
1848	40	12940
1848	127	32453
1850	8	1370
1857	49	17890
1866	47	17483
1851	260	64199
1852	8	2089
1860	187	112626
1851	15	6164
	410	126198
1857	336	102350
1856	518	170890
1855	177	61813
	384	97579
1855	403	124457
1865	111	43018
1856	112	32778
1869	155	42606
1852	384	201844
1864	8	7840
1852	415	216538
1867	32	10171
	430	109447
1867	29	14222
	404	102429
1852	25	4910
	416	108340
	650	278548
	480	198301
1860	673	262453
1860	734	305495
1857	42	11091
1859	501	182479
1843	163	34129
1862	12	2980
1861	9	3286
1860	639	251025
1865	52	9575
1857	434	117084
1859	174	61412
1844	107	27781
1854	24	9302
1848	16	3482
	167	43394
1856	15	7083
1846	35	23417
1856	425	154090
1866	84	16196
1850	248	78061
1847	97	39890
1846	12	3349
1840	343	58138
1859	96	22879
1848	72	36850
1855	36	13525
1855	378	84404
1847	92	40207
1843	280	55436
	288	86571
	255	109946
	255	97788
	344	125624
	206	87939
	320	125231
	306	120009
1843	65	18231
1867	48	8596
	203	90276
	223	88143
1842	16	5183
	501	207065
1849	18	4571
1865	21	4403
1868	41	8402
1851	50	10551
1850	88	19180
1855	8	3747
1867	14	12144
1872	140	32849
1855	17	4483
	285	125106
	268	107680
1852	28	8620
1873	12	5259
1845	36	6634
	89	20812
1872	17	2335
1870	20	17481
1873	142	34254
1856	8	6708
1852	48	15897
1842	8	2698
1861	17	3761
1870	790	254018
1874	32	6918
1866	26	8244
1856	18	6548
1876	10	2870
1838	28	7576
1871	32	7886
1846	11	9986
1852	45	14435
1852	358	94705
1840	35	5484
1866	29	13823
1841	36	11214
1852	457	188457
1851	127	51687
1870	229	60542
	174	66533
	497	179053
1865	157	34186
1848	39	10749
	305	94612
1872	587	229122
1876	11	2147
1870	21	7302
1849	32	7585
	193	54824
1863	109	13765
1864	64	17489
	404	118307
1863	143	48144
1856	58	34894
1845	63	21810
1866	421	124210
1870	376	109932
1856	321	123955
	463	143501
1868	195	53187
1859	417	149514
1858	10	1369
1860	11	2327
1858	368	93287
	382	98278
1842	17	4467
	89	28829
1857	497	159881
1858	193	50651
1844	70	26822
1846	40	16833
1842	16	4450
1865	425	65933
1866	23	3706
1866	78	31537
1841	21	8943
1841	361	73097
1840	11	2271
1864	22	7703
1870	449	134544
1850	20	4908
1861	647	169084
1865	23	1686
1859	26	4911
1851	21	5252
1852	24	3353
1842	139	16988
1872	29	5922
1862	26	4116
1874	19	2083
1843	25	10126
1840	16	14973
1867	142	48978
1861	617	175310
1841	15	2888
1856	15	10698
1862	25	10743
1841	24	5781
1848	16	11352
1840	32	7949
1856	41	11443
1859	16	8233
1843	38	11163
1863	18	6048
1847	17	3221
1859	33	4980
	564	180907
1857	236	51282
1854	285	87625
	690	221259
1855	41	19366
1864	13	4047
1845	16	5077
1869	36	14451
1858	4	1119
1861	22	4891
1860	8	4971
1862	16	7311
1844	16	8989
1875	105	18644
1847	19	5972
	370	97858
	383	107231
1841	114	19940
1853	74	27765
1865	100	14949
1861	20	5383
1871	38	12408
1864	334	86640
1844	16	7348
1876	56	19856
1863	21	3120
1851	227	75720
1855	9	6224
1870	20	8219
1844	114	52543
1856	19	15115
1849	281	107466
1860	32	9096
1843	24	7745
1863	14	3551
1868	39	10191
1861	27	5857
1864	78	38036
1866	12	4952
1844	186	88287
1864	405	73065
1844	25	22641
1845	9	1943
1869	85	18742
1851	33	11910
1851	23	8153
1880	545	229232
1840	33	7244
1848	23	5932
1863	44	9672
1872	62	20536
1871	16	11267
1880	513	200877
1853	36	11135
1864	16	3081
1868	322	57498
1853	317	180563
1851	62	17606
1873	237	45027
1870	8	7500
1862	16	12524
1871	36	10670
1862	16	8501
1846	8	6735
1854	89	8457
1848	24	6602
	422	150979
1848	133	148235
1844	50	33406
1876	14	8210
1855	31	4092
1857	144	33088
1859	422	109173
1875	16	10750
1860	8	7401
1846	85	63742
1862	25	5538
1860	14	11187
1863	32	13233
1880	20	5654
1872	14	10893
1847	13	3170
1875	87	28801
	688	263477
1874	89	23162
1841	23	5186
1871	23	20340
1873	607	246124
1850	104	24852
1861	42	6262
1851	84	9385
1850	81	28936
1862	26	6234
1844	20	6395
	726	254656
1867	221	52715
1848	192	38870
1860	70	27125
1862	8	4330
1852	26	6912
1852	41	13038
1872	16	16559
1845	133	43164
1841	299	82448
1867	594	170190
1865	16	3840
1846	65	7808
1858	210	36603
1841	305	85296
1842	276	74450
	290	70289
1842	263	68690
1858	40	10299
1875	98	24475
1861	12	6414
1851	22	7526
1856	202	71258
1840	39	27337
1847	37	9491
1844	252	65968
1869	95	18634
	409	140551
1862	16	14250
1857	51	7202
1862	15	14495
1874	366	131920
1850	47	14297
1847	22	8669
1850	288	79259
1845	33	12843
1854	137	31883
1855	25	7848
1852	219	34586
1845	40	13666
1841	38	17675
1864	39	11072
1842	44	12935
1854	182	33824
1864	45	14403
	839	331446
1872	22	7764
1841	24	8785
1862	14	14416
1864	191	28200
1853	546	255222
1854	349	88877
1851	344	64934
	116	28329
1860	211	65692
1853	551	240881
1853	635	313488
1856	408	126030
1855	565	207698
1853	35	13318
1856	409	147277
1859	600	226292
1866	116	47288
1855	409	150910
1860	428	80898
1853	458	164022
1855	505	191096
1860	160	22048
1869	16	9195
1840	356	96043
1843	160	53054
	480	176859
	546	204572
1851	184	147919
1863	60	30974
1852	144	26526
1856	590	218252
1842	48	14337
1852	17	8537
1845	287	88437
1845	20	2774
1843	18	1028
1846	50	24429
1846	13	6849
1861	32	4541
1856	457	146709
1882	428	120682
1842	24	7652
1856	8	9219
1848	17	7017
1865	23	7087
1855	7	4780
1844	180	59010
1870	36	12874
1856	45	15483
1872	133	43101
1854	24	26597
1854	16	5822
1857	81	44595
1867	161	31434
1852	4	4146
1848	206	53346
1858	249	63406
1863	3	3667
1845	15	9037
1854	7	5649
	127	19925
	374	106332
1864	15	6411
1855	337	74180
1846	360	108398
1861	194	78514
1852	251	64221
1840	125	25903
1916	17	5526
1865	25	9361
1907	438	141807
1907	356	113931
1851	65	31527
1855	424	97479
1855	24	6401
1859	31	6635
1900	666	158500
1853	30	7262
1864	343	129106
1897	366	86980
1845	33	7945
1854	467	163707
1860	194	82627
1858	16	4509
1873	61	14941
1911	51	16940
1841	48	18332
1910	1145	404204
1893	485	156803
1878	526	149058
1847	259	52609
1846	51	21373
1899	258	46930
1903	391	96629
1836	333	62498
1836	56	30327
1836	328	61478
1837	41	32325
	235	89035
	236	97220
	341	108338
	268	108386
1842	393	184291
	247	96582
1856	346	93078
	107	34260
1857	59	28740
1860	31	13142
1903	36	8275
1861	5	3088
1864	63	29324
1876	23	4999
1871	8	2835
	434	214079
1864	67	11657
1850	481	143654
1907	32	5823
1852	43	20136
1925	122	20179
1858	461	143842
1906	107	24852
1854	530	207177
1846	175	29376
1873	16	3019
	192	105108
1850	200	52218
1862	7	1934
1850	16	6637
1851	32	27665
1895	163	37937
1868	193	33915
1915	132	41492
1852	8	10161
1849	15	4337
1873	283	69518
1755	45	8031
1915	39	19211
1916	28	3583
1889	41	11122
	126	42934
1853	8	9992
1917	76	33698
1854	8	8699
1851	16	16619
1860	47	7413
1877	8	2399
1860	66	7489
1855	14	12666
1852	29	10468
1858	82	27920
1891	323	143899
1878	29	11101
1872	13	7348
1868	7	3531
1866	10	1661
1861	27	6463
1896	40	14396
1847	162	35260
1892	23	7101
1880	897	359296
1874	32	10666
1869	52	14047
1848	31	13405
1882	342	133690
1851	12	3499
1847	14	2036
1854	19	3771
1871	16	14294
1867	23	4861
1858	225	53011
1874	62	23643
1857	16	4819
1864	28	15249
1852	46	11007
1870	25	18207
1876	15	4430
1844	129	19131
1853	15	10024
1852	17	538
1852	16	8290
1850	32	19047
1871	26	7743
1851	31	9576
1862	53	22087
	343	136582
1848	360	175333
	349	120384
1870	36	12110
1872	14	2328
1863	677	235627
1871	132	18392
1845	24	22428
1849	22	6883
	316	133096
1858	143	30327
1866	29	9668
	342	147401
1857	298	71506
1848	774	332050
1863	21	4495
1851	36	10741
1850	68	28829
1852	93	43475
1870	34	17473
1850	16	12027
1864	82	25750
1871	138	45934
1846	32	8297
1875	101	48422
1861	36	12300
1865	18	4543
1871	100	24833
1851	144	32125
1850	16	5843
1848	7	2445
1851	8	6603
1851	201	48668
1844	34	10768
	126	30252
1851	16	7968
1849	12	4657
1845	16	6434
1869	56	26258
1843	16	6124
1863	19	4906
1843	20	10380
1870	4	3652
1870	40	14209
1870	14	3542
1870	7	3903
	9	2864
1859	21	6096
1861	225	57004
1870	24	8458
	24	7541
1851	9	1253
1862	18	2875
1846	38	16328
1851	66	13525
1844	18	5874
1860	54	20148
1873	50	16698
1862	16	5059
1869	15	2795
1869	131	34795
1859	29	4707
1843	32	16144
1876	49	17453
1841	31	8681
1849	37	11512
1843	13	1311
1855	11	2732
1864	24	9299
1852	225	96654
1849	20	5336
1869	91	39603
1855	247	62698
1850	8	6764
1871	30	7181
	191	34808
1871	78	20955
1862	10	6391
1873	82	28466
	396	146996
	446	115412
	424	161168
	405	151066
1863	33	2666
1873	61	20049
	419	153369
	447	168711
	417	153658
	444	168671
1840	24	20706
1841	7	4446
1865	48	16981
1840	7	4508
1856	8	8323
1852	38	14919
1854	20	7252
1874	71	8027
1874	10	2883
1854	16	9041
1861	12	3354
1854	12	3312
1852	50	15527
1850	32	10314
1870	22	6963
1869	15	3471
1854	16	8064
1854	12	11013
1876	62	24797
1850	31	13542
1843	12	4199
1848	18	8151
1850	36	14312
1846	40	7707
1848	37	11962
1852	8	9366
1861	4	3136
1852	77	34703
1852	39	9931
1857	289	91917
	122	49314
1856	21	4746
1847	15	2598
1872	16	4505
1853	17	4436
1864	20	5507
1852	45	11433
1855	45	10977
1870	51	8313
1852	28	6341
1854	48	13916
1846	252	64248
1879	4	2994
1868	24	13221
1853	231	70740
1864	28	9726
1870	16	14287
1864	22	4858
1872	25	5936
1859	8	8394
1859	18	3785
1854	346	108419
1851	63	27733
1840	180	21854
1841	34	14139
	115	86077
1844	24	12280
1844	7	2369
1847	124	76148
1845	7	5576
1844	37	10404
1859	15	2774
1850	27	6957
1851	16	4003
1855	14	5486
1859	48	25411
1852	67	27145
	169	34258
1859	40	15167
1846	44	16853
1857	371	116476
1852	11	2384
	192	9552
1857	15	7105
1844	67	23647
1853	24	5964
1857	438	147198
1855	16	3309
1843	40	21211
1842	8	1491
	194	10097
1855	41	14891
1844	26	7004
1852	82	16078
1851	30	10336
1846	33	16635
1853	32	13170
	62	3569
	268	47637
1857	628	320700
1848	25	9536
1856	44	19307
1854	28	9230
1853	414	188179
1852	286	187191
1853	264	240033
1859	34	12047
1843	12	3742
1840	15	9899
1844	20	16865
1846	68	15655
1852	15	2529
1854	52	36635
1852	24	30645
1850	34	9767
1849	32	13000
1860	32	30304
1844	120	101919
1848	67	26414
1854	32	17232
1844	7	3259
1851	8	2363
1859	13	3145
1842	66	21188
1855	30	10706
1840	35	6888
1864	33	10056
1856	32	38814
1864	27	10712
1863	27	5056
1853	43	14033
1845	50	8932
1841	32	9506
1854	69	30314
1853	19	5643
1844	20	6573
1865	129	44132
1850	34	8796
1848	218	67796
1841	87	18168
1835	16	7737
1858	255	77616
1845	34	12862
1848	44	19375
	530	111114
1853	36	17278
1841	39	15997
1857	79	22077
1840	141	27728
1866	28	17855
1855	144	21877
1859	28	9058
1869	76	52611
1840	25	10366
1840	99	47314
1845	183	45752
1845	210	80326
1841	59	16460
1840	15	3734
1840	7	5553
	109	40189
1840	11	261
1844	10	6458
1867	12	9843
1856	16	4410
1853	18	3822
1840	45	7238
1831	41	12845
1840	24	11262
	262	108120
1845	225	102333
1846	76	42375
	8	5325
1842	295	53605
1840	28	6318
1824	191	21361
1840	23	7963
1845	157	38774
1840	24	8332
1840	46	11913
1840	16	7446
1845	23	11834
1840	10	2449
1853	719	546005
1858	18	4801
1850	170	36818
1853	194	57267
1840	8	4034
1862	52	21787
1840	16	3168
1861	16	4153
1844	12	5664
1840	106	30968
1842	111	21630
	221	35036
1853	496	108876
1840	8	6371
1849	12	4474
1862	22	6863
1850	20	3880
1860	8	6932
1845	92	37025
1853	17	5310
1856	282	57394
	234	49154
1848	8	9368
	262	61234
1861	28	8462
1846	273	114527
1861	24	7947
1848	159	72277
1847	32	10305
1842	12	6883
1848	7	1325
	421	117625
1840	8	7047
1848	34	14022
1840	30	20291
1848	42	14019
	453	140769
1847	320	77007
1850	27	12010
1849	401	110675
1853	25	13066
	372	100855
1840	511	131382
1861	43	7897
1775	62	15283
1843	12	6768
1853	48	10421
1851	48	12271
	565	175136
1855	4	3868
1852	32	12468
1861	281	80323
1865	91	18606
1855	16	11737
1852	21	8902
1853	54	11588
1863	189	57977
1847	16	16240
1862	24	6290
1845	193	37097
1846	12	3085
	8	1224
1845	20	5886
1852	44	16457
1855	23	11238
1862	9	2430
1856	24	5668
1864	4	2342
1860	277	111922
1856	30	7173
1857	12	1085
1850	8	8792
1849	363	177820
1846	66	25537
1858	9	1277
1854	53	49312
1852	34	13604
1850	11	5174
1865	23	6647
1851	36	18408
1840	14	13197
	220	69335
	387	124147
	456	159267
1865	46	9726
1865	37	10472
1853	10	2289
	38	11610
1843	774	461959
1848	17	7733
1840	48	25778
1859	25	12050
1860	41	23688
1862	16	9985
1854	450	170043
1861	12	2389
1854	423	152538
1846	21	5746
1866	43	9717
1844	55	24572
1862	86	27648
1862	428	149552
1847	27	9007
1862	433	149234
	296	109290
	376	117951
	490	174262
1851	30	9433
1851	36	13450
	316	114248
	233	103693
1847	12	3321
	430	162380
	407	167305
	310	141327
1856	697	289416
	7	5616
1870	30	6319
1848	18	4018
1864	16	4135
1855	128	22355
1854	17	2354
1856	22	4981
1864	2	286
1748	577	162998
1856	95	21154
1853	16	2077
1860	73	12988
1858	12	3049
1864	18	8238
1863	4	1858
1855	57	9966
1865	56	21159
1862	8	3346
1860	74	21735
1841	23	7935
1865	30	5191
	264	68764
1840	73	20244
1845	16	8763
1860	105	20523
1859	321	67942
1861	48	17296
1864	24	5550
1858	288	58523
	350	110519
1841	20	7333
1852	37	14227
1865	312	74454
1866	322	69734
1853	27	3064
1855	27	9008
	269	55537
1852	22	8392
1865	61	27240
1840	81	12434
1857	407	120220
1847	120	52541
1862	331	91228
1861	8	1624
	4	2561
1862	13	2794
1865	17	10421
1860	40	9499
1830	12	2924
1858	97	26371
1853	24	8345
1861	17	5745
1856	11	2665
1854	96	34167
1848	346	87971
1848	97	23963
1855	24	1235
1850	30	8708
1864	60	8708
1841	33	12002
1857	13	3689
1862	18	6182
1854	493	143778
1861	25	8955
1841	28	5242
1860	233	74067
1861	14	6593
1858	18	3375
1845	15	17183
1866	34	8051
1860	29	6506
1865	35	9986
1866	11	2996
1855	31	18695
1836	9	7709
1841	23	6804
1858	247	95334
1850	33	8384
1851	360	153800
1852	16	4712
1852	302	72257
1864	11	1765
1859	20	6402
1857	19	4277
	144	49186
1851	24	8263
	254	57565
1856	20	8271
1848	29	8930
1860	4	2667
1863	22	3825
1861	33	7912
1865	64	30914
	408	95346
1856	369	163523
1851	38	11298
1848	22	7991
1860	47	14705
1853	54	14387
1859	44	14028
1846	23	8192
1849	16	4901
1844	68	39370
1845	38	6383
1850	32	21280
1847	32	14800
1856	14	3998
1866	19	4389
1863	15	4215
1863	15	5473
1857	574	184387
1845	24	14288
1843	25	6862
1860	8	6848
1862	8	5259
1861	144	63074
1841	29	7770
1862	6	1731
1867	52	11019
1524	128	19924
1840	33	8997
1862	8	9213
1863	11	2520
1846	83	58805
1863	16	9711
1866	16	4746
1862	8	7098
1863	470	127691
1863	481	149022
1857	16	5733
1852	48	33874
1868	20	3829
1844	288	100219
1861	19	3984
1854	97	27387
1840	476	116818
1845	244	59928
1860	16	18226
1856	159	39212
1862	118	26583
1857	309	58816
	252	56361
1864	36	4821
1864	247	98990
1858	22	10625
1867	87	26466
1844	309	124766
1866	69	26513
1865	37	14420
1857	45	8995
1856	253	57064
1863	25	8596
1849	40	13736
1866	29	10943
1864	40	25286
1860	4	899
	169	41761
1847	25	6639
1860	9	1227
1852	8	8398
1856	15	3974
1849	318	55096
1849	300	53259
1841	18	3512
1850	8	7482
1853	43	16568
1528	173	50992
1842	465	79455
1853	24	5276
1852	25	8774
1865	26	6340
1862	8	4438
	135	20063
1840	48	9352
1846	22	5949
1851	40	20536
1841	23	9956
1863	66	22986
1861	18	3545
1855	788	270932
1792	282	83657
1842	16	5124
1860	261	61957
1866	33	24741
1841	385	208355
1859	15	4857
1856	34	11714
1842	49	13904
1860	75	30620
1861	20	6099
1841	71	14817
1860	40	13614
1857	39	15308
1848	32	11442
1842	22	7683
1847	80	27039
1865	83	29440
	496	115993
1846	66	24524
1850	7	7733
1851	36	17108
1849	39	10581
1854	13	4149
1845	26	7286
1853	16	15237
1852	16	9479
1857	21	4472
1855	77	18831
1868	8	5147
1863	16	3095
1849	48	11006
1866	250	41457
1857	27	7311
1865	28	6465
1848	14	5946
1862	126	26342
	269	47812
1849	64	15823
1865	305	84354
1868	342	120624
1868	331	107249
1840	51	14018
1847	36	14193
1851	23	5947
1856	26	10451
1857	492	263655
1859	337	134778
1865	513	137624
1857	34	11804
1860	32	17980
1850	16	7324
1772	394	60576
1865	40	16975
1841	23	10139
1771	450	123901
1862	15	13791
1867	67	16053
1843	23	9012
1851	8	9819
1845	599	148344
1850	42	22204
1772	475	73956
1850	54	19828
1862	40	11727
