year	pages	words
1841	16	4665
1846	45	15410
1858	87	22117
1842	33	15421
1847	48	17322
1866	64	22308
1858	16	4776
1862	33	17460
1863	25	9230
1869	97	26170
1863	253	78777
1866	122	29960
1852	270	83094
	112	16307
1868	255	73018
1861	93	21248
1858	34	16471
	72	14350
1842	63	14673
1850	213	61567
1859	79	23368
1850	349	70794
1863	62	22215
1860	51	17184
1863	77	23643
1849	224	50737
	255	69936
1847	127	31769
1854	323	68913
1864	105	31520
1859	400	105691
1853	34	4928
1851	381	126577
1843	37	8356
1850	122	21278
1861	46	11935
	337	131296
1846	85	18482
1852	58	15634
1859	23	5723
1859	307	90171
1843	26	12635
1850	38	8474
1857	61	18505
1855	320	47263
1852	109	33665
1847	27	8110
1843	38	21059
1857	22	6512
1846	211	44422
1852	38	10354
1860	393	78056
1862	62	26752
1847	21	5098
	532	216063
1855	32	11972
1852	204	59269
	598	255502
1864	52	18290
1847	36	0
	57	22001
1848	22	7233
1865	12	4139
1865	65	22281
1858	11	5694
1863	272	126860
	75	29108
	478	139056
	50	18361
1862	8	5366
1861	64	20154
1862	9	2264
	385	79563
1863	20	5354
1856	73	35324
1853	8	5238
1853	30	5816
1865	385	107552
	82	136364
1848	118	54112
1851	25	9873
1862	13	2751
1863	30	8861
	276	103858
1865	29	6817
1862	19	6298
1856	56	21273
1859	4	1703
1856	231	174101
1852	24	10685
1855	21	9783
1850	43	19898
1860	245	78057
	191	61399
1859	8	2803
1854	25	6718
1857	272	67665
1856	12	2948
1869	23	6593
1865	26	6803
1849	226	44423
1845	221	53350
1866	7	4588
1844	20	5155
1868	8	4240
1855	86	66881
1825	456	94971
1862	8	9397
1825	456	98329
1825	427	84199
1848	8	7090
	32	9722
	104	24795
1862	31	8218
1795	40	11244
1858	8	7298
1859	151	46695
1854	228	31499
1858	10	4924
1857	32	9895
1846	30	6470
1852	24	7029
1858	49	13781
1860	32	12377
1861	21	7960
1840	24	15282
1854	616	235992
1856	437	214740
1863	19	754
1862	102	27634
1844	42	11672
1858	307	87242
1847	402	52514
1852	160	40341
1844	61	21399
1846	532	280414
1867	113	25704
1859	18	5713
1842	37	12335
1842	98	5041
1857	57	8627
	680	217268
1866	249	91432
1853	442	171423
1855	106	33247
1850	45	12205
1840	525	238923
1868	621	133160
1863	300	89171
1869	223	81137
1867	338	83341
1864	53	8994
1850	114	53647
1854	431	115508
	135	32961
	340	72629
	280	44574
	408	141436
1853	85	40069
1869	824	452977
1844	481	196686
	381	126486
1860	482	175382
	878	641073
	1016	442302
1844	397	154645
1869	152	24506
1855	212	36592
1866	202	46084
1856	338	52575
1841	106	18632
1869	585	198915
1848	818	265426
1863	326	81695
1860	301	138534
1860	336	145213
1858	741	296571
1866	211	58961
1860	413	190203
	168	46446
1858	594	222498
1863	123	42246
1866	529	189022
1842	20	11799
1864	49	12210
1865	38	8199
1864	33	14704
1855	58	21173
1842	9	4142
1844	18	5178
1861	16	5043
1854	365	91136
1860	52	17538
1845	30	7024
1845	18	4911
1844	48	16840
1859	29	3531
1851	23	5042
1852	362	78061
1853	17	2368
1864	15	332
1860	40	10103
1853	46	7368
1864	14	3397
1852	16	3482
1853	26	10707
1866	15	1189
1849	40	14663
1854	26	5366
1858	11	2192
1859	16	3998
1855	30	5448
1860	62	12211
1842	31	15436
1860	36	1993
1857	18	413
1867	9	3792
1861	16	5184
1865	443	106724
1861	19	3920
1865	58	21895
1866	30	5129
1863	16	4647
1850	211	44513
1859	8	863
1844	34	13341
1852	20	11434
1863	113	25398
	318	42089
	219	32566
	465	199140
1849	8	4865
1848	82	23615
1863	376	75266
1867	142	48730
1852	351	78301
1841	127	19475
	168	17349
	323	70750
1862	43	18339
1857	356	107655
1843	112	31969
1846	90	24261
1847	174	69216
1867	19	8203
1846	123	52888
	296	101874
1866	58	20573
1863	168	32562
1850	12	1039
1866	340	118815
1865	18	2207
1860	26	6229
1868	187	27870
1862	16	3191
1866	358	127046
1866	344	131020
1866	374	136097
1840	25	2320
1840	16	12695
1863	8	3931
1845	107	29395
1844	35	6845
1844	307	73581
1854	571	164865
	445	152172
1844	308	72855
	527	187943
1844	286	59632
1844	397	200965
1843	8	2870
	602	219850
1843	37	5539
1857	47	11992
1861	73	20290
1849	49	17321
1860	16	4734
1843	4	1971
	348	115298
1839	5	65
	24	5926
1849	83	68243
	505	175694
1840	14	13754
1859	250	81537
1862	16	1190
1848	7	2453
	478	169616
1854	40	10687
1850	29	11771
1855	22	6608
1844	21	6893
1840	12	2984
1863	40	6849
1850	19	8781
1860	24	6839
1846	46	19624
1850	72	17409
1855	22	5774
1866	87	27479
1846	17	2595
1850	37	13611
1840	15	3146
1865	12	2174
1850	73	17832
1783	35	14876
1864	32	11202
1843	99	41694
1861	16	1651
1861	7	2668
1864	323	139084
1861	16	7018
1858	173	72876
1856	28	9829
1840	284	70506
1868	8	5516
1847	328	67705
1855	20	3217
1852	158	33284
1855	7	5931
1850	337	91491
1843	96	26307
1843	22	6586
1840	222	39960
1856	316	82356
1859	56	17397
1840	27	13534
1847	307	57513
1847	321	59313
1850	369	139229
1862	8	3458
1847	31	4578
1862	8	5071
1860	30	14407
1868	12	2867
1866	677	190939
1841	369	68176
1859	114	71454
1857	76	18186
1855	99	35350
1844	293	134123
1844	265	118580
1846	176	40956
1868	73	26253
1857	37	11760
1859	30	3648
1851	22	3704
1869	158	46277
1857	28	5534
1860	136	20548
1857	383	70249
1844	420	148036
1848	32	11138
1852	12	2580
1863	107	26595
1863	21	5653
1865	113	34579
	396	93376
1864	48	7680
1866	216	44432
1844	266	126641
1854	470	137602
1866	286	92832
1852	385	131465
	816	443208
1860	16	5955
1909	681	349339
1851	386	72903
1851	371	81177
1856	8	7169
1909	684	360243
1855	688	214687
1864	329	67996
1855	740	237532
1861	17	3068
1847	166	18008
1853	96	15983
1866	313	72574
1853	395	71965
1851	47	11596
1855	706	220674
	331	64829
	199	53212
1845	458	145470
	314	66180
	464	201105
1852	530	215410
1847	191	78535
1859	19	5896
1853	288	74256
1866	86	19280
1844	21	2638
1863	46	6878
1856	52	20956
1855	28	7966
1859	642	174350
1856	333	95668
1860	338	82882
	354	81351
1869	67	17361
1869	41	12034
1843	440	126843
1846	30	13388
1857	412	99331
1850	299	84270
1854	418	102287
	528	173038
1865	25	4553
1842	252	72142
1842	238	65628
1844	427	164720
1860	61	20682
1857	120	23490
1867	261	60827
1857	408	99999
1861	15	5116
1854	14	2638
1868	25	7583
1846	11	4216
1845	17	5670
1854	69	20909
1865	11	3058
1866	9	1868
1849	36	9486
1858	32	12985
1847	11	4743
1862	12	3872
1852	8	2022
1849	23	5813
1852	13	6504
1858	25	5692
1846	16	4030
1848	16	10227
1855	32	10129
1855	49	12762
1841	22	7254
1846	448	210066
	8	2940
1852	8	4128
	12	4048
1856	39	15584
1857	11	4622
1845	95	40849
1868	27	8296
1863	10	6887
1845	22	4368
1860	16	12047
1850	8	1592
1848	111	42008
1862	84	41697
1857	15	9735
1840	16	5607
1849	45	13970
1863	9	5161
1840	20	2278
1841	197	123976
1840	203	69476
1852	31	6162
1864	16	2183
1840	30	21838
1840	14	1279
1852	203	44904
1831	394	73545
1833	344	61657
1833	345	61197
1830	183	68049
1829	491	125737
1851	327	93738
1850	466	139534
1825	199	78315
1851	308	92432
1832	369	296954
1831	408	76062
1849	299	82277
1852	608	227126
1870	252	94143
1820	771	316719
1854	122	42168
1842	334	68203
1842	18	3974
1864	16	5538
1869	355	58645
1846	17	4662
1845	462	200401
1842	363	72931
1862	20	7199
1846	330	106908
1844	215	61292
1869	18	4015
1856	11	2048
	361	140020
1844	209	74858
1874	15	4636
1860	287	67065
1857	460	139925
1861	19	6750
1866	486	142427
1840	517	376656
1840	534	389824
1866	484	125946
1869	487	142434
1852	30	18745
1849	510	156031
	746	271626
1867	40	11942
1848	132	24915
1847	58	30346
1854	7	2606
1845	289	95402
1849	161	57501
1852	194	63167
1864	405	127750
	667	228812
1849	7	2566
1850	19	9063
	202	30310
1848	28	11561
1863	63	30328
1850	25	17432
1862	61	21218
1851	34	14261
1855	509	145690
1865	41	20574
1840	39	15269
1859	63	20688
1856	8	6386
1853	40	14261
1856	320	66399
1846	16	5909
1868	49	11092
	474	131525
1851	16	5037
1866	337	89863
1860	288	42006
1860	148	53279
1866	376	89053
	433	117407
1843	380	174642
1842	31	10303
	18	4991
1853	312	94100
	417	80075
1866	302	79829
1866	319	82087
1867	50	17095
1866	14	3370
1855	130	65401
1824	158	39262
1866	20	5869
1843	100	9479
1853	312	89941
1843	53	15060
1846	46	5687
1841	29	7753
1870	147	22451
1844	282	121066
1840	291	54207
1862	254	77050
1865	632	280329
1855	41	11787
1844	34	20723
1848	20	6320
1848	22	5623
	261	50788
	112	16890
1844	140	28807
1850	32	37823
1853	16	4510
1855	15	7953
1848	230	85933
1850	108	27640
1845	44	8687
1852	34	12735
1862	4	1639
1841	663	328026
1844	20	6326
1848	230	85008
	583	178404
1858	28	8225
	118	27240
1862	305	84527
1862	302	51212
1865	614	232032
1859	42	16132
	432	110590
	178	23390
1845	16	4305
1851	577	199797
	576	200329
1861	9	3188
1853	250	38640
1852	20	5188
1856	307	137017
1862	8	2497
1852	348	152761
1860	15	4945
1857	323	81928
1857	108	35301
1847	241	74000
1870	340	56507
1852	322	150773
1870	78	14630
1845	380	108950
1865	38	13929
1854	91	37236
1850	242	50596
1853	191	69544
1854	95	34866
1868	48	11664
1864	448	568507
1851	17	5705
1851	42	16947
1857	76	14893
1856	30	10421
1864	382	51371
1854	50	17777
1864	59	16830
1864	313	43356
1863	228	70318
1867	526	108467
1864	515	183502
1850	21	6708
1865	153	46185
1860	48	18505
1870	321	71200
1840	403	179050
1864	252	78193
1856	63	16290
	385	121460
	317	100041
	407	136220
	377	186165
	360	111790
1849	99	35762
	387	118920
